Session;Statut de l’établissement de la filière de formation (public, privé…);Code UAI de l'établissement;Établissement;Code départemental de l’établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Filière de formation très agrégée;Filière de formation;Concours communs et banques d'épreuves;Filière de formation détaillée;Filière de formation très détaillée;Lien de la formation sur la plateforme Parcoursup;Coordonnées GPS de la formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Dont effectif des candidates pour une formation;Effectif total des candidats en phase principale;Dont effectif des candidats ayant postulé en internat;Effectif des candidats néo bacheliers généraux en phase principale;Dont effectif des candidats boursiers néo bacheliers généraux en phase principale;Effectif des candidats néo bacheliers technologiques en phase principale;Dont effectif des candidats boursiers néo bacheliers technologiques en phase principale;Effectif des candidats néo bacheliers professionnels en phase principale;Dont effectif des candidats boursiers néo bacheliers professionnels en phase principale;Effectif des autres candidats en phase principale;Effectif total des candidats en phase complémentaire;Effectif des candidats néo bacheliers généraux en phase complémentaire;Effectif des candidats néo bacheliers technologique en phase complémentaire;Effectif des candidats néo bacheliers professionnels en phase complémentaire;Effectifs des autres candidats en phase complémentaire;Effectif total des candidats classés par l’établissement en phase principale;Effectif des candidats classés par l’établissement en phase complémentaire;Effectif des candidats classés par l’établissement en internat (CPGE);Effectif des candidats classés par l’établissement hors internat (CPGE);Effectif des candidats néo bacheliers généraux classés par l’établissement;Dont effectif des candidats boursiers néo bacheliers généraux classés par l’établissement;Effectif des candidats néo bacheliers technologiques classés par l’établissement;Dont effectif des candidats boursiers néo bacheliers technologiques classés par l’établissement;Effectif des candidats néo bacheliers professionnels classés par l’établissement;Dont effectif des candidats boursiers néo bacheliers professionnels classés par l’établissement;Effectif des autres candidats classés par l’établissement;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Rang du dernier appelé;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Dont effectif des candidates admises;Effectif des admis en phase principale;Effectif des admis en phase complémentaire;Dont effectif des admis ayant reçu leur proposition d’admission à l'ouverture de la procédure principale;Dont effectif des admis ayant reçu leur proposition d’admission avant le baccalauréat;Dont effectif des admis ayant reçu leur proposition d’admission avant la fin de la procédure principale;Dont effectif des admis en internat;Dont effectif des admis boursiers néo bacheliers;Effectif des admis néo bacheliers;Effectif des admis néo bacheliers généraux;Effectif des admis néo bacheliers technologiques;Effectif des admis néo bacheliers professionnels;Effectif des autres candidats admis;Dont effectif des admis néo bacheliers sans information sur la mention au bac;Dont effectif des admis néo bacheliers sans mention au bac;Dont effectif des admis néo bacheliers avec mention Assez Bien au bac;Dont effectif des admis néo bacheliers avec mention Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien au bac;Effectif des admis néo bacheliers généraux ayant eu une mention au bac;Effectif des admis néo bacheliers technologiques ayant eu une mention au bac;Effectif des admis néo bacheliers professionnels ayant eu une mention au bac;Dont effectif des admis issus du même établissement (BTS/CPGE);Dont effectif des admises issues du même établissement (BTS/CPGE);Dont effectif des admis issus de la même académie;Dont effectif des admis issus de la même académie (Paris/Créteil/Versailles réunies);% d’admis ayant reçu leur proposition d’admission à l'ouverture de la procédure principale;% d’admis ayant reçu leur proposition d’admission avant le baccalauréat;% d’admis ayant reçu leur proposition d’admission avant la fin de la procédure principale;% d’admis dont filles;% d’admis néo bacheliers issus de la même académie;% d’admis néo bacheliers issus de la même académie (Paris/Créteil/Versailles réunies);% d’admis néo bacheliers issus du même établissement (BTS/CPGE);% d’admis néo bacheliers boursiers;% d’admis néo bacheliers;% d’admis néo bacheliers sans information sur la mention au bac;% d’admis néo bacheliers sans mention au bac;% d’admis néo bacheliers avec mention Assez Bien au bac;% d’admis néo bacheliers avec mention Bien au bac;% d’admis néo bacheliers avec mention Très Bien au bac;% d’admis néo bacheliers généraux;Dont % d’admis avec mention;% d’admis néo bacheliers technologiques;Dont % d’admis avec mention;% d’admis néo bacheliers professionnels;Dont % d’admis avec mention;tri
2019;Public;0030026M;Lycée Paul Constans;03;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;CPGE;Classe préparatoire scientifique;;PTSI;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2113&g_ta_cod=2113;46.3355,2.5775;24;229;56;228;184;201;17;2;0;0;0;25;1;1;0;0;0;180;0;184;170;168;15;0;0;0;0;12;144;179;20;2;20;0;6.0;20.0;20.0;10;1;19;19;0;0;1;0;2;9;6;2;17;0;0;6;0;15;15;30.0;100.0;100.0;10.0;78.9375;78.9375;31.578125;5.2626953125;95.0;0.0;10.525390625;47.3671875;31.578125;10.525390625;100.0;89.46875;0.0;0.0;0.0;0.0;2_Lycées
2019;Public;0060075Z;Lycée Les Eucalyptus;06;Alpes-Maritimes;Provence Alpes Côte d'Azur;Nice;CPGE;Classe préparatoire scientifique;;PCSI;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2228&g_ta_cod=2228;43.676,7.2211402;48;729;253;725;477;625;55;2;0;0;0;98;4;0;0;0;4;569;0;477;552;503;45;0;0;0;0;66;359;480;44;9;44;0;0.0;39.0;42.0;8;3;41;41;0;0;3;3;9;21;8;0;29;0;0;3;0;29;29;0.0;88.6363636364;95.4545454545;20.453125;70.71875;70.71875;7.31640625;7.31640625;93.171875;7.31640625;21.94921875;51.21875;19.51171875;0.0;100.0;70.71875;0.0;0.0;0.0;0.0;2_Lycées
2019;Privé;0060673Z;Lycée Stanislas;06;Alpes-Maritimes;Provence Alpes Côte d'Azur;Nice;CPGE;Classe préparatoire scientifique;;PCSI;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2238&g_ta_cod=2238;43.5526,7.0086;36;424;135;408;361;367;22;0;0;0;0;41;16;7;0;1;8;304;6;280;283;278;14;0;0;0;0;26;239;303;28;6;27;1;0.0;24.0;28.0;25;0;25;25;0;0;3;0;0;7;12;6;25;0;0;3;1;19;19;0.0;85.7142857143;100.0;21.42578125;76.0;76.0;12;0.0;89.28125;0.0;0.0;28.0;48.0;24.0;100.0;100.0;0.0;0.0;0.0;0.0;2_Lycées
2019;Public;0100022V;Lycée Chrestien de Troyes;10;Aube;Grand Est;Reims;CPGE;Classe préparatoire scientifique;;PCSI;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2406&g_ta_cod=2406;48.268738,4.0785237;48;345;111;322;223;297;23;0;0;0;0;25;23;10;1;0;12;211;10;55;208;203;22;0;0;0;0;8;185;216;30;10;28;2;1.0;28.0;30.0;4;1;27;27;0;0;3;4;10;8;3;2;13;0;0;6;2;18;18;3.33333333333;93.3333333333;100.0;33.328125;66.65625;66.65625;22.21875;3.70361328125;90.0;14.814453125;37.03125;29.62890625;11.109375;7.4072265625;100.0;48.140625;0.0;0.0;0.0;0.0;2_Lycées
2019;Public;0130002G;Lycée Paul Cezanne;13;Bouches-du-Rhône;Provence Alpes Côte d'Azur;Aix-Marseille;CPGE;Classe préparatoire scientifique;;PCSI;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2528&g_ta_cod=2528;43.534,5.4598598;96;1305;499;1305;364;1186;97;1;0;0;0;118;0;0;0;0;0;897;0;262;890;886;72;0;0;0;0;11;577;672;96;41;96;0;41.0;79.0;87.0;4;7;95;95;0;0;1;1;0;16;46;32;94;0;0;13;6;89;89;42.7083333333;82.2916666667;90.625;42.703125;93.671875;93.671875;13.68359375;7.3681640625;98.953125;1.05249023438;0.0;16.83984375;48.4140625;33.6796875;100.0;98.9375;0.0;0.0;0.0;0.0;2_Lycées
2019;Public;0130040Y;Lycée Thiers;13;Bouches-du-Rhône;Provence Alpes Côte d'Azur;Aix-Marseille;CPGE;Classe préparatoire littéraire;;Lettres;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2550&g_ta_cod=2550;43.3055,5.3662598;48;583;439;558;352;504;64;2;2;1;1;51;25;12;1;3;9;383;3;65;381;363;44;0;0;0;0;20;305;386;42;39;42;0;23.0;40.0;42.0;1;3;39;39;0;0;3;1;0;3;11;24;38;0;0;4;4;27;27;54.7619047619;95.2380952381;100.0;92.84375;69.21875;69.21875;10.255859375;7.69140625;92.84375;2.56396484375;0.0;7.69140625;28.203125;61.53125;100.0;97.421875;0.0;0.0;0.0;0.0;2_Lycées
2019;Public;0130053M;Lycée Jean Perrin;13;Bouches-du-Rhône;Provence Alpes Côte d'Azur;Aix-Marseille;CPGE;Classe préparatoire économique et commerciale;;ENS Rennes D1;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2597&g_ta_cod=2597;43.274254,5.4268;45;744;536;731;389;682;80;5;2;1;1;43;13;9;0;0;4;345;3;389;319;331;36;0;0;0;0;14;215;327;35;27;35;0;4.0;30.0;35.0;8;3;35;35;0;0;0;0;0;2;17;16;35;0;0;2;2;27;27;11.4285714286;85.7142857143;100.0;77.140625;77.140625;77.140625;5.7138671875;8.5703125;100.0;0.0;0.0;5.7138671875;48.5703125;45.7109375;100.0;100.0;0.0;0.0;0.0;0.0;2_Lycées
2019;Public;0130053M;Lycée Jean Perrin;13;Bouches-du-Rhône;Provence Alpes Côte d'Azur;Aix-Marseille;CPGE;Classe préparatoire économique et commerciale;;ENS Cachan D2;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2598&g_ta_cod=2598;43.2744,5.4270196;36;389;217;375;220;344;50;3;0;0;0;28;14;4;0;3;7;267;2;218;258;259;41;0;0;0;0;8;180;264;19;11;19;0;3.0;17.0;19.0;2;2;18;18;0;0;1;0;2;3;9;4;16;0;0;1;1;16;16;15.7894736842;89.4736842105;100.0;57.890625;88.875;88.875;5.5546875;11.109375;94.734375;0.0;11.109375;16.6640625;50.0;22.21875;100.0;88.875;0.0;0.0;0.0;0.0;2_Lycées
2019;Public;0131596P;Lycée Militaire d'Aix-en-Provence;13;Bouches-du-Rhône;Provence Alpes Côte d'Azur;Aix-Marseille;CPGE;Classe préparatoire scientifique;;PCSI;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2654&g_ta_cod=2654;43.526838,5.4596763;36;946;191;946;946;817;59;3;0;1;0;125;0;0;0;0;0;946;0;946;0;817;59;3;0;1;0;125;172;253;35;15;35;0;4.0;32.0;34.0;35;3;34;34;0;0;1;0;1;1;20;12;33;0;0;1;0;12;12;11.4285714286;91.4285714286;97.1428571429;42.8515625;35.2890625;35.2890625;2.94091796875;8.822265625;97.140625;0.0;2.94091796875;2.94091796875;58.8203125;35.2890625;100.0;97.046875;0.0;0.0;0.0;0.0;2_Lycées
2019;Public;0170028N;Lycée Jean Dautet;17;Charente-Maritime;Nouvelle-Aquitaine;Poitiers;CPGE;Classe préparatoire scientifique;;MPSI;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=3025&g_ta_cod=3025;46.1647,-1.1536402;48;717;199;717;530;666;50;2;1;1;0;48;0;0;0;0;0;584;0;235;575;558;42;0;0;0;0;26;313;467;47;9;47;0;3.0;37.0;46.0;17;2;44;44;0;0;3;0;2;20;17;5;42;0;0;2;1;21;21;6.3829787234;78.7234042553;97.8723404255;19.1484375;47.7265625;47.7265625;4.544921875;4.544921875;93.609375;0.0;4.544921875;45.453125;38.6328125;11.36328125;100.0;95.453125;0.0;0.0;0.0;0.0;2_Lycées
