"Classement ""Plus-Value"" (2021)",Établissement,Département,Moyenne du Lycée au BAC (2019),Classement Parcoursup (2019),Classement L'étudiant (2021),Différence
1,Lycée agricole Le Chesnoy - Les Barres,45,14.16,51,26,25
2,Lycée Pierre-Gilles de Gennes - ENCPB,75,13.73,54,34,20
3,Lycée Fénelon,75,15.21,34,14,20
4,Lycée agricole Angers le Fresne,49,15.63,25,9,16
5,Lycée Lakanal,92,15.29,31,17,14
6,Lycée Jacques Prevert,92,14.55,45,32,13
7,Lycée CLEMENCEAU,51,15.52,26,13,13
8,Lycée Emmanuel d'Alzon,30,14.91,41,33,8
9,Lycée Blaise Pascal,63,15.14,36,28,8
10,Lycée Hoche,78,16.36,13,6,7
11,Lycée Albert Schweitzer,93,13.96,52,46,6
12,Lycée Janson De Sailly,75,16.49,11,5,6
13,Lycée Francois René De Chateaubriand,35,15.68,22,16,6
14,Lycée Marcelin Berthelot,94,14.98,40,35,5
15,Lycée Louis Thuillier,80,13.82,53,48,5
16,Lycée général Clemenceau,44,16.32,14,11,3
17,Lycée Camille Guérin,86,14.39,48,45,3
18,Lycée Assomption Bellevue,69,14.61,44,41,3
19,Lycée Jean-Baptiste Say,75,15.51,27,24,3
20,Lycée Francois Ier,77,15.23,32,30,2
21,Lycée Saint-Louis (6ème),75,16.79,4,3,1
22,Lycée Joffre,34,16.79,3,2,1
23,Lycée général privé Externat Chavagnes,44,14.19,50,49,1
24,Lycée Pothier,45,15.06,38,38,0
25,Lycée Sainte Geneviève,78,17.0,1,1,0
26,L.E.G.T.A. Toulouse Auzeville,31,16.71,7,7,0
27,Lycée Montaigne,33,15.86,21,21,0
28,LEGTPA Louis Pasteur (Clermont-Marmilhat),63,15.94,19,19,0
29,Lycée Champollion,38,16.53,10,10,0
30,Lycée Victor Hugo,25,15.5,28,29,-1
31,Lycée Carnot,21,16.02,17,18,-1
32,Lycée Albert Chatelet,59,15.04,39,40,-1
33,Lycée Louis Barthou,64,14.91,42,44,-2
34,Lycée Henri IV,75,16.83,2,4,-2
35,Lycée Ozenne,31,15.89,20,22,-2
36,Lycée Thiers,13,15.14,35,37,-2
37,Lycée Descartes,37,16.49,12,14,-2
38,Lycée du Parc,69,16.78,5,8,-3
39,Lycée Centre Sud,972,14.2,49,52,-3
40,Lycée Pierre De Fermat,31,16.57,9,12,-3
41,Lycée Malherbe,14,15.67,24,27,-3
42,Lycée Leonard Limosin,87,14.74,43,47,-4
43,Lycée Claude Fauriel,42,15.13,37,42,-5
44,Lycée Georges De La Tour,57,14.53,46,51,-5
45,Lycée Baimbridge,971,14.5,47,53,-6
46,Lycée Chaptal,75,15.45,29,36,-7
47,Lycée Masséna,6,16.29,15,23,-8
48,Lycée Henri Poincaré,54,15.67,23,31,-8
49,Lycée La Martiniere Monplaisir,69,15.4,30,42,-12
50,Lycée Pierre Corneille,76,16.75,6,19,-13
51,Lycée Jean Rostand,67,16.65,8,24,-16
52,Lycée Robespierre,62,15.21,33,54,-21
53,Lycée Faidherbe,59,16.17,16,39,-23
54,Lycée Roland Garros,974,16.0,18,49,-31
