"Classement ""Plus-Value"" (2021)";Établissement;Département;Moyenne du Lycée au BAC (2019);Classement Parcoursup (2019);Classement L'étudiant (2021);Différence
1;Lycée Aristide Briand;27;12.91;149;69;80
2;Lycée Laperouse;81;13.86;121;51;70
3;Lycée ORT STRASBOURG;67;13.73;130;61;69
4;Lycée François Arago;66;14.05;113;49;64
5;Lycée Henri Moissan;77;13.82;125;64;61
6;Lycée Vaugelas;73;13.65;132;72;60
7;Lycée Pierre-Gilles de Gennes - ENCPB;75;13.0;146;86;60
8;Lycée Raspail;75;13.22;140;80;60
9;Lycée Claude Bernard;75;14.11;108;53;55
10;Lycée Jeanne D'Albret;78;14.57;82;29;53
11;Lycée Louis Couffignal;67;14.12;107;55;52
12;Lycée Les Eucalyptus;6;12.95;147;98;49
13;Lycée Berthollet;74;14.85;69;21;48
14;Lycée Dumont d'Urville;83;13.85;122;74;48
15;Lycée de l'Essouriau;91;13.43;136;89;47
16;Lycée Franklin Roosevelt;51;13.83;124;81;43
17;Lycée Chrestien de Troyes;10;13.95;117;75;42
18;Lycée D'Arsonval;94;13.74;129;88;41
19;Lycée Paul Valery;75;13.13;142;101;41
20;Lycée Jean Jaures;95;12.33;156;115;41
21;Lycée Jacques Decour;75;14.23;100;62;38
22;Lycée Jean Perrin;13;14.82;72;35;37
23;Lycée Saliège;31;14.6;80;43;37
24;Lycée Auguste Brizeux;29;13.24;139;102;37
25;Lycée Cesar Baggio;59;14.44;88;58;30
26;Lycée Déodat de Séverac;31;15.4;49;20;29
27;Pôle Kerichen-Vauban;29;14.55;85;56;29
28;Lycée Sainte Anne;29;13.59;133;105;28
29;Lycée Henri Loritz;54;15.16;59;32;27
30;Lycée Thiers;13;16.02;34;7;27
31;Lycée Francois Ier;77;14.79;74;48;26
32;Lycée Jean Dautet;17;14.37;92;67;25
33;Lycée Sainte Marie;92;14.89;68;46;22
34;Lycée Lakanal;92;16.12;26;5;21
35;Lycée Victor Hugo;25;15.01;64;43;21
36;Lycée International de Valbonne;6;15.17;58;38;20
37;Lycée Blaise Pascal;91;16.08;30;11;19
38;Lycée Carnot;21;15.4;50;31;19
39;Lycée Fénelon Sainte-Marie;75;15.72;39;24;15
40;Lycée Albert Schweitzer;93;14.27;97;82;15
41;Lycée Pothier;45;14.7;78;63;15
42;Lycée Alphonse DAUDET;30;14.36;93;79;14
43;Lycée Montesquieu;72;14.81;73;60;13
44;Lycée Gustave Eiffel;33;15.15;60;49;11
45;Lycée Chaptal;75;15.7;40;29;11
46;Lycée Michelet;92;16.03;33;22;11
47;Lycée Robespierre;62;14.12;106;96;10
48;Lycée Bellevue;972;14.71;76;67;9
49;Lycée Jean-Baptiste Say;75;15.35;54;45;9
50;Lycée Condorcet;75;16.37;18;10;8
51;Lycée BELLEVUE;31;16.12;27;19;8
52;Institut Supérieur Saint-Denis;7;14.18;102;95;7
53;Lycée Marcelin Berthelot;94;16.07;31;24;7
54;Lycée Dupuy De Lôme;56;14.91;65;58;7
55;Lycée Pierre De Fermat;31;16.73;8;3;5
56;Lycée Louis Barthou;64;14.3;96;91;5
57;Lycée La Martiniere Monplaisir;69;16.1;28;23;5
58;Lycée Champollion;38;16.34;20;16;4
59;Lycée Fabert;57;15.63;43;39;4
60;Lycée Hoche;78;16.77;5;1;4
61;Lycée Montaigne;33;16.42;16;13;3
62;LGT Saint-Stanislas;44;15.31;55;54;1
64;Lycée Descartes;78;16.06;32;32;0
65;Lycée Sainte Geneviève;78;16.97;2;2;0
66;Lycée Janson De Sailly;75;16.39;17;17;0
67;Lycée Faidherbe;59;16.6;11;12;-1
68;Pôle Chateaubriand - Joliot-Curie;35;16.14;25;27;-2
69;Lycée Buffon;75;14.75;75;77;-2
70;Lycée Louis Le Grand;75;16.88;4;8;-4
71;Lycée Pierre Corneille;76;16.24;22;26;-4
72;Lycée général Clemenceau;44;16.64;10;15;-5
73;Lycée Aux Lazaristes;69;16.98;1;6;-5
74;Lycée du Parc;69;16.92;3;9;-6
75;Lycée Louis Pasteur;92;16.6;12;18;-6
76;Lycée Saint-Louis (6ème);75;16.76;7;14;-7
77;Lycée Gay-Lussac;87;15.9;38;45;-7
78;Lycée Leconte de Lisle;974;15.29;57;66;-9
79;Lycée ASSOMPTION;35;14.17;103;112;-9
80;Lycée La Fayette;63;14.57;83;95;-12
81;Lycée Henri Wallon;59;15.98;36;50;-14
82;Lycée Joffre;34;16.32;21;35;-14
83;Lycée Albert Chatelet;59;15.52;45;60;-15
84;Lycée Kléber;67;16.22;23;40;-17
85;Lycée Francois René De Chateaubriand;35;16.68;9;27;-18
86;Lycée Masséna;6;16.49;14;33;-19
87;Lycée Baimbridge;971;15.1;62;84;-22
88;Lycée Henri Poincaré;54;16.36;19;42;-23
89;Lycée Louis Thuillier;80;14.69;79;105;-26
90;Lycée Camille Guérin;86;14.91;66;93;-27
91;Lycée Jean Bart;59;14.7;77;106;-29
92;Lycée général et technologique Henri Bergson;49;15.11;61;101;-40
93;Lycée Paul Cezanne;13;15.53;44;86;-42
94;Lycée Militaire Prytanee National;72;15.38;52;100;-48
95;Lycée Stanislas;6;16.53;13;68;-55
97;Lycée Roland Garros;974;15.36;53;109;-56
